date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:27	3753/3753	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:43:43%20GMT	http://sohelrana.me/hotel/default/img/footer-img-2.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/footer-img-2.jpg	(from http://sohelrana.me/hotel/default/)
20:25:28	4384/4384	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:43:43%20GMT	http://sohelrana.me/hotel/default/img/footer-img-3.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/footer-img-3.jpg	(from http://sohelrana.me/hotel/default/)
20:25:28	4186/4186	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:43:50%20GMT	http://sohelrana.me/hotel/default/img/gallery-1.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/gallery-1.jpg	(from http://sohelrana.me/hotel/default/)
20:25:29	3753/3753	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:43:50%20GMT	http://sohelrana.me/hotel/default/img/gallery-2.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/gallery-2.jpg	(from http://sohelrana.me/hotel/default/)
20:25:29	3522/3522	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:43:51%20GMT	http://sohelrana.me/hotel/default/img/gallery-3.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/gallery-3.jpg	(from http://sohelrana.me/hotel/default/)
20:25:30	4384/4384	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:43:52%20GMT	http://sohelrana.me/hotel/default/img/gallery-4.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/gallery-4.jpg	(from http://sohelrana.me/hotel/default/)
20:25:30	4209/4209	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:43:52%20GMT	http://sohelrana.me/hotel/default/img/gallery-5.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/gallery-5.jpg	(from http://sohelrana.me/hotel/default/)
20:25:33	10859/10859	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20Feb%202017%2018:43:04%20GMT	http://sohelrana.me/hotel/default/js/bootstrap-slider.js	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/js/bootstrap-slider.js	(from http://sohelrana.me/hotel/default/)
20:25:33	682/682	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20Feb%202017%2018:43:08%20GMT	http://sohelrana.me/hotel/default/js/ie10-viewport-bug-workaround.js	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/js/ie10-viewport-bug-workaround.js	(from http://sohelrana.me/hotel/default/)
20:25:36	36868/36868	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20Feb%202017%2018:43:06%20GMT	http://sohelrana.me/hotel/default/js/bootstrap.min.js	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/js/bootstrap.min.js	(from http://sohelrana.me/hotel/default/)
20:25:37	409/409	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20Feb%202017%2018:43:04%20GMT	http://sohelrana.me/hotel/default/js/app.js	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/js/app.js	(from http://sohelrana.me/hotel/default/)
20:25:42	52672/52672	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20Feb%202017%2018:43:06%20GMT	http://sohelrana.me/hotel/default/js/flatpickr.js	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/js/flatpickr.js	(from http://sohelrana.me/hotel/default/)
20:25:42	85588/85588	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20Feb%202017%2018:43:10%20GMT	http://sohelrana.me/hotel/default/js/jquery-2.2.0.min.js	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/js/jquery-2.2.0.min.js	(from http://sohelrana.me/hotel/default/)
20:25:43	29478/29478	---MC-	200	added ('OK')	text/javascript	date:Mon,%2003%20Apr%202017%2021:04:51%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/crr/www.google-analytics.com/analytics.js	(from http://sohelrana.me/hotel/default/)
20:25:46	338955/338955	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Feb%202017%2018:44:41%20GMT	http://sohelrana.me/hotel/default/img/spa.png	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/spa.png	(from http://sohelrana.me/hotel/default/)
20:25:46	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2023%20Feb%202017%2018:44:48%20GMT	http://sohelrana.me/hotel/default/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/fonts/glyphicons-halflings-regular.eot	(from http://sohelrana.me/hotel/default/css/bootstrap.min.css)
20:25:47	18028/18028	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:44:52%20GMT	http://sohelrana.me/hotel/default/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/fonts/glyphicons-halflings-regular.html	(from http://sohelrana.me/hotel/default/css/bootstrap.min.css)
20:25:48	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2023%20Feb%202017%2018:44:48%20GMT	http://sohelrana.me/hotel/default/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/fonts/glyphicons-halflings-regulard41d.eot	(from http://sohelrana.me/hotel/default/css/bootstrap.min.css)
20:25:51	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Feb%202017%2018:44:49%20GMT	http://sohelrana.me/hotel/default/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/fonts/glyphicons-halflings-regular.svg	(from http://sohelrana.me/hotel/default/css/bootstrap.min.css)
20:25:52	23424/23424	---M--	200	added ('OK')	application/font-woff	date:Thu,%2023%20Feb%202017%2018:44:51%20GMT	http://sohelrana.me/hotel/default/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/fonts/glyphicons-halflings-regular.woff	(from http://sohelrana.me/hotel/default/css/bootstrap.min.css)
20:25:55	66624/66624	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:45:14%20GMT	http://sohelrana.me/hotel/default/css/font-awesome-4.5.0/fonts/fontawesome-webfont.woff2?v=4.5.0	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/font-awesome-4.5.0/fonts/fontawesome-webfont3295.html	(from http://sohelrana.me/hotel/default/css/font-awesome-4.5.0/css/font-awesome.min.css)
20:25:58	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2023%20Feb%202017%2018:44:51%20GMT	http://sohelrana.me/hotel/default/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/fonts/glyphicons-halflings-regular.ttf	(from http://sohelrana.me/hotel/default/css/bootstrap.min.css)
20:26:03	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2023%20Feb%202017%2018:45:10%20GMT	http://sohelrana.me/hotel/default/css/font-awesome-4.5.0/fonts/fontawesome-webfont.eot?v=4.5.0	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/font-awesome-4.5.0/fonts/fontawesome-webfont3295.eot	(from http://sohelrana.me/hotel/default/css/font-awesome-4.5.0/css/font-awesome.min.css)
20:26:03	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2023%20Feb%202017%2018:45:10%20GMT	http://sohelrana.me/hotel/default/css/font-awesome-4.5.0/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/font-awesome-4.5.0/fonts/fontawesome-webfontd41d.eot	(from http://sohelrana.me/hotel/default/css/font-awesome-4.5.0/css/font-awesome.min.css)
20:26:07	365616/365616	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Feb%202017%2018:45:11%20GMT	http://sohelrana.me/hotel/default/css/font-awesome-4.5.0/fonts/fontawesome-webfont.svg?v=4.5.0	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/font-awesome-4.5.0/fonts/fontawesome-webfont3295.svg	(from http://sohelrana.me/hotel/default/css/font-awesome-4.5.0/css/font-awesome.min.css)
20:26:09	19316/19316	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2023%20Feb%202017%2018:44:58%20GMT	http://sohelrana.me/hotel/default/css/flaticon/font/Flaticon.eot	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/flaticon/font/Flaticon.eot	(from http://sohelrana.me/hotel/default/css/flaticon/font/flaticon.css)
20:26:09	83588/83588	---M--	200	added ('OK')	application/font-woff	date:Thu,%2023%20Feb%202017%2018:45:13%20GMT	http://sohelrana.me/hotel/default/css/font-awesome-4.5.0/fonts/fontawesome-webfont.woff?v=4.5.0	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/font-awesome-4.5.0/fonts/fontawesome-webfont3295.woff	(from http://sohelrana.me/hotel/default/css/font-awesome-4.5.0/css/font-awesome.min.css)
20:26:09	12164/12164	---M--	200	added ('OK')	application/font-woff	date:Thu,%2023%20Feb%202017%2018:45:01%20GMT	http://sohelrana.me/hotel/default/css/flaticon/font/Flaticon.woff	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/flaticon/font/Flaticon.woff	(from http://sohelrana.me/hotel/default/css/flaticon/font/flaticon.css)
20:26:13	136699/136699	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Feb%202017%2018:45:00%20GMT	http://sohelrana.me/hotel/default/css/flaticon/font/Flaticon.svg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/flaticon/font/Flaticon.svg	(from http://sohelrana.me/hotel/default/css/flaticon/font/flaticon.css)
20:26:14	19316/19316	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2023%20Feb%202017%2018:44:58%20GMT	http://sohelrana.me/hotel/default/css/flaticon/font/Flaticon.eot?	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/flaticon/font/Flaticond41d.eot	(from http://sohelrana.me/hotel/default/css/flaticon/font/flaticon.css)
20:26:14	19140/19140	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2023%20Feb%202017%2018:45:00%20GMT	http://sohelrana.me/hotel/default/css/flaticon/font/Flaticon.ttf	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/flaticon/font/Flaticon.ttf	(from http://sohelrana.me/hotel/default/css/flaticon/font/flaticon.css)
20:26:22	142072/142072	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2023%20Feb%202017%2018:45:12%20GMT	http://sohelrana.me/hotel/default/css/font-awesome-4.5.0/fonts/fontawesome-webfont.ttf?v=4.5.0	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/font-awesome-4.5.0/fonts/fontawesome-webfont3295.ttf	(from http://sohelrana.me/hotel/default/css/font-awesome-4.5.0/css/font-awesome.min.css)
20:26:24	58112/58112	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:43:22%20GMT	http://sohelrana.me/hotel/default/img/banner-slider-2.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/banner-slider-2.jpg	(from http://sohelrana.me/hotel/default/css/style.css)
20:26:29	23261/23261	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:44:09%20GMT	http://sohelrana.me/hotel/default/img/new-experience-inner.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/new-experience-inner.jpg	(from http://sohelrana.me/hotel/default/css/style.css)
20:26:34	69671/69671	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:43:54%20GMT	http://sohelrana.me/hotel/default/img/home-parallax.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/home-parallax.jpg	(from http://sohelrana.me/hotel/default/css/style.css)
20:26:35	342/342	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Apr%202017%2020:26:38%20GMT	http://sohelrana.me/hotel/default/css/PIE.htc	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/css/PIE.50.delayed	(from http://sohelrana.me/hotel/default/css/style.css)
20:26:45	56964/56964	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:44:23%20GMT	http://sohelrana.me/hotel/default/img/room01.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/room01.jpg	(from http://sohelrana.me/hotel/default/index-2.html)
20:26:56	64901/64901	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:44:23%20GMT	http://sohelrana.me/hotel/default/img/room02.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/room02.jpg	(from http://sohelrana.me/hotel/default/index-2.html)
20:26:57	285793/285793	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:43:20%20GMT	http://sohelrana.me/hotel/default/img/banner-slider-1.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/banner-slider-1.jpg	(from http://sohelrana.me/hotel/default/css/style.css)
20:27:02	210425/210425	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:43:24%20GMT	http://sohelrana.me/hotel/default/img/banner-sub-slider.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/banner-sub-slider.jpg	(from http://sohelrana.me/hotel/default/css/style.css)
20:27:04	35327/35327	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:44:25%20GMT	http://sohelrana.me/hotel/default/img/room04.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/room04.jpg	(from http://sohelrana.me/hotel/default/index-2.html)
20:27:09	78985/78985	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:44:25%20GMT	http://sohelrana.me/hotel/default/img/room03.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/room03.jpg	(from http://sohelrana.me/hotel/default/index-2.html)
